1.Vaccination Link,https://selfregistration.cowin.gov.in
2. News,https://news.google.com/topstories
3.Jio Recharge,https://www.jio.com/en-in/no-daily-limit-plans JIO
4.Airtel Recharge,https://www.airtel.in/recharge-online
5.JEE Main,https://www.vedantu.com/iit-jee/jee-main-sample-papers
6.JEE Adv,https://www.vedantu.com/iit-jee/jee-advanced-sample-papers
7.Entrance Coaching,https://www.youtube.com/channel/UCwdvPgmU5qHPB2NsDLAmS1g
8.NEET,https://medicine.careers360.com/articles/neet-sample-paper
9.Covinews,https://www.bing.com/search?q=covid+19&cvid=d60d712bf3aa477189f678e7203c2d1b&aqs=edge.2.69i57j0l6.5951j0j1&pglt=2081&FORM=ANSPA1&PC=U531
10.Learn Python ,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ
11. Movie Tickets,https://in.bookmyshow.com
12. Feedback,
13.Flight Tickets,https://www.makemytrip.com/flights
14.NCERT TB,https://ncert.nic.in/textbook.php
,https://youtu.be/dQw4w9WgXcQ
